reason_for_recall,classification
"GKI Foods of Brighton, Michigan is voluntarily recalling multiple dark chocolate products because they may contain an undeclared milk allergen.",moderate
Products may be contaminated with Listeria monocytogenes.,severe
Products not manufactured under GMP's,major
General Mills is recalling a limited quantity of refrigerated Pills bury Cinnamon Rolls with Icing.  The dough may contain fragments from a broken piece of plastic on the production line.,moderate
"Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.",major
Land O'Lakes is recalling certain cheese products due to potential contamination with large pieces of plastic in the product.,major
The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,severe
Product testing at the supplier found aflatoxin above 20 ppb,moderate
The firm has decided to recall various products due to undeclared milk.,major
Undeclared Allergens; Soy and Milk.,moderate
Listeria monocytogenes,severe
The firm was notified by a customer that mold was in the product.,moderate
French Toast contains frozen strawberries which may be contaminated with Hepatitis A.,moderate
Firm was notified of a positive test result for Listeria monocytogenes.,severe
An unknown quantity of a 757 unit run of Peanut Turtledoves was mislabeled with Pecan Turtledove labels.,severe
"Full Tilt Brand ice cream is being recalled due to the potential to be contaminated with Listeria monocytogenes. These products contain ice cream mix, an ingredient manufactured and recalled by Snoqualmie Gourmet Ice Cream, Inc.",major
FDA environmental sampling returned a positive test result for Listeria monocytogenes.,severe
Labeling error caused product to claim Gluten Free and Vegan when it contains wheat and dairy,moderate
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Environmental samples positive for Listeria.,severe
Products recalled due to undeclared allergen -milk,major
"Kraft Foods is voluntarily recalling 18 SKUs of Knudsen Cottage Cheese, nine SKUs of Breakstone's Cottage Cheese, five SKUs of Simply Kraft Cottage Cheese and two SKUs of Daily Chef Cottage Cheese produced at our Tulare, CA manufacturing facility. Some ingredients used in these products were not stored in accordance with Kraft's temperature standards. While unlikely, this could create conditions t",major
foreign materials,severe
Wysong Corporation is conducting a voluntary recall of multiple varieties of Protein Key brand protein meals due to undeclared allergen soy.,major
"Some varieties of Kraft and Polly-O String Cheese and String Cheese Twist products may spoil before their ""Best When Used By"" code dates, leading to product discoloration. The affected products all have code dates from October 25, 2013 through February 11, 2014.",major
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
Products not manufactured under GMP's,major
CDC epidemiologists have linked an outbreak of Listeria monocytogenes illness to caramel apples.,severe
"Cut Fruit Express, Inc  processed cantaloupe that was later recalled by the supplier DFI Marketing due to a positive Salmonella sample.",major
Beirut Lift Turnip Pickles contains undeclared FD & C Red #40  and unallowable dye 45170 Rhodamine B - Basic Violet 10.,moderate
Aloha has recalled protein powder dietary supplements due to the presence of Staphylococcus enterotoxin,major
Multiple laboratory analysis found multiple instances where various cheeses exceed allowed limits of generic E. coli.,major
Product contains foreign material (nylon string),moderate
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
"Kauffman's Fruit Farm found high patulin levels in one lot of Apple Cider, packed in 3 different sized jugs.",moderate
Undeclared milk and soy.,moderate
Greek yogurt product Chobani brand is recalled due to report of illnesses and product bloated and swollen.,major
The firm discovered that the allergen soy was not declared in the ingredient statement or allergen declaration.,moderate
Bright Farms Inc. dba CHI Greenhouse LLC is initiating a voluntary recall of packaged produce due to the potential presence of E. coli.,major
Foreign material in product.  Pieces of cleaning brush bristles found in the product,moderate
Hummus was recalled due to potential Salmonella and/or Listeria monocytogenes contamination,major
Wilderness Family Naturals Organic Coconut Milk Powder and other products that contain this as an ingredient are being recalled  due to potential milk contamination.,major
"Pacific Giant is recalling all frozen (IQF) oyster meat and 1/2 shell oysters from South Korea because the products have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",major
"There is no labeling on the product, and the product contains the allergen, wheat.",moderate
"On the evening of Friday, July 6, 2012, Ingredion, Inc. (f/k/a Corn Products U.S., Inc.) the supplier of Galactooligosaccharide (GOS), an ingredient included, in iFlora¿ Kids Multi Probiotic, notified our contract manufacturer that two lots of  their GOS material supplied for inclusion in our products were being recalled for a suspected salmonella contamination. Although our contract manufacturer",major
potential Allergen cross contact in oil used to roast various nuts and seeds products.,major
"Protein supplement fails to declare allergens: milk, shellfish",moderate
"The product was recalled due to undeclared-sub ingredient, hydrolyzed soy protein.",major
Two food trailers holding various types and brands of frozen foods were temperature abused during deliver to two retail stores.,major
The firm received positive test results for Listeria monocytogenes during in house environmental sampling on one of their meat slicers.,severe
Central Market Teriyaki Salmon Jerkey is recalled due to undeclared soy and wheat.,major
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
Cookies may contain undeclared peanut residue.,moderate
Jams and Jellies are made with butter which is not declared on the label.,severe
Firm received notification of a positive L. mono test result from a random sample taken from of one our customer's retail locations by the Massachusetts Department of Public Health.,major
The products have the potential to be contaminated with Listeria monocytogenes based on the findings of the bacteria in the plant via FDA environmental sampling plus the district's inspectional findings,severe
Products may contain undeclared peanuts due to cross contamination.,moderate
Notified by supplier that flax seed used in products is under recall due to detection of unapproved herbicide.,major
Cups of macaroni salad are in tubs which declare the product to be potato salad and fail to disclose the presence of milk and wheat allergens.,moderate
Findings and potential for Cronobacter sakazakii and Clostridium botulinum.,severe
The product contains Soy and Wheat and is packaged in cartons in which the ingredient statement is missing.,moderate
Corn flour which may contain small pieces of plastic.,moderate
Possible contamination with Listeria monocytogenes,severe
"Semifreddi's Almond Biscotti  and Semifreddi's Chocolate Dipped Almond Biscotti are being recalled due to undeclared allergens, milk and soy; butter did not list milk as a subingredient; lecithin did not list soy as a subingredient.",moderate
Possible contamination with Listeria monocytogenes,severe
The firm is recalling EarthCoco Pure Coconut Water 320ml and 500ml because they lack a 5-log reduction process.,major
Products recalled due to potential contamination with Listeria monocytogenes,major
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.",moderate
Undeclared allergen; Peanut Protein,moderate
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,severe
"Salted Print Butter, Rose Valley brand, is recalled.  The Appendix N procedure was not followed and the firm used the milk to process into butter without the confirmation negative antibiotic test result.",major
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
The product contained undeclared sulfites based on sampling and analysis by New York State Department of Agriculture and Markets,moderate
"Canned Albacore Tuna Jalepeno, Dungeness Seaworks brand, with any code starting with ""OC"" was recalled because it has the potential to be contaminated with Clostridium botulinum.",severe
"Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.",major
The firm recalled 26 products for undeclared allergens. This product was recalled due to undeclared yellow #5 and yellow #6.,major
Ajinomoto Windsor is recalling various Not-Ready-To Eat frozen food items due to the potential for these products to be contaminated with Listeria monocytogenes.,severe
Frozen Tuna may contain elevated levels of Histamine,moderate
"Nutella Husky ice cream is being recalled due to the potential to be contaminated with Listeria monocytogenes. This product contains an ice cream mix ingredient manufactured and recalled by Snoqualmie Gourmet Ice Cream, Inc.",major
Firm was notified by supplier of apples that Caramel apples may be associated with a current Listeria Monocytogenes outbreak.,severe
CDC epidemiologists have linked an outbreak of Listeria monocytogenes illness to caramel apples.,severe
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
QTrade Teas & Herbs is recalling Organic Green Tea Hojicha  because it has the potential to be contaminated with Salmonella.,severe
Product contains undeclared fish (anchovy).,moderate
"Rockys Historic Eastern Market initiated a voluntary recall of DARK CHOCOLATE CHERRY, and DARK CHOCOLATE CRANBERRY due to undeclared allergen milk following a supplier's recall.",major
Infant formula potentially contaminated with Cronobacter sakazakii,severe
Product may contain undeclared milk.,moderate
FreshPoint Central Florida is recalling multiple onion products and mixes.  The products were prepared using onions sourced from Gills Onions LLC which may be adulterated with Listeria monocytogenes.,major
Potential to be contaminated with Listeria monocytogenes,severe
Products not manufactured under GMP's,major
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
Findings and potential for Cronobacter sakazakii and Clostridium botulinum.,severe
Product may contain undeclared milk.,moderate
Cookies may contain mold.,moderate
Ardent Mills is voluntarily recalling certain lots of Self-Rising Flour because it has the potential to be contaminated with Salmonella.,severe
Possible contamination with Listeria monocytogenes,severe
The firm was notified by a customer that the product was molding before expiration.,moderate
Packaged cheesecakes are distributed with no labels indicating the ingredients or the major food allergens they contain.,moderate
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Notified by supplier of recall of Daniella brand mangoes due to potential contamination with Salmonella Braenderup.,major
During an internal inspection the firm discovered that several products may contain soy lecithin which is not declared on the labels.,moderate
The firm received a complaint from one of their customers that the product contained pieces of black plastic in the product.,moderate
Protein supplement fails to declare allergen milk,moderate
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Organic Pinenuts are recalled due to potential contamination of peanuts or traces of peanuts.,major
Jams and Jellies are made with butter which is not declared on the label.,severe
Undeclared soy,moderate
Dietary supplements have the potential to be contaminated with Salmonella.,severe
Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.,major
Undeclared soy lecithin.,moderate
Products may contain pieces of aluminum.,moderate
Chicago Bar Company LLC d/b/a RXBAR is voluntary recalling certain varieties of bars due to undeclared allergen peanut.,major
Potential presence of food-grade rubber pieces.,severe
Potential Salmonella contamination.,major
Product was improperly pasteurized.,moderate
A potential for Listeria monocytogenes contamination was verified by the sunflower kernel raw material supplier.,severe
Product may be contaminated with Listeria monocytogenes.,severe
Product contains undeclared peanuts,moderate
Whole Wheat Bread is recalled due to undeclared soy lecithin. The soy allergen is present in DDA pan spray (release agent) and the firm used it to spray the loaf pans.,major
Product may contain pieces of metal.,moderate
Products may be contaminated with  Listeria monocytogenes.,severe
The product has the potential to be contaminated with Salmonella.,severe
"During an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for Listeria monocytogenes and Salmonella; confirmation was not conducted.",severe
Undeclared allergen; Peanut Protein,moderate
"Griffith Foods, Inc. has initiated a voluntary recall of multiple products following a supplier's recall of Autolyzed Yeast Powder due to the presence of Salmonella.",major
Manufacturing defect leading to post-process  contamination.,major
Bakery products which contain an ingredient which contain egg do not declare egg on the label,moderate
19% Ice Cream Mix is being recalled due to a potential to be contaminated with Listeria monocytogenes.,severe
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
"Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.",major
Recall required by Order of Permanent Injunction. The products are misbranded and deemed unapproved drugs based on labeling claims.,major
GM Manufacturing is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
Product may have been sliced on the same equipment where the mortadella with pistachios was sliced.,moderate
Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,moderate
Possible metal fragments in Yogurt Bars,severe
"Undeclared soy lecithin. The firm used Canola oil cooking spray, which contains soy lecithin, in the manufacture of product but soy or soy lecithin is not declared on finished product label.",moderate
Product could contain foreign objects (pliable blue plastic),moderate
"Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.",major
"Sunny Pine Farm of Twisp, Washington is voluntarily recalling Organic Honey Lavender Chevre due to possible improper pasteurization.",major
Products may be contaminated with  Listeria monocytogenes.,severe
Dole is suspending operations and withdrawing all marketed Dole and private label salads produced at the Springfield OH facility.  Products may be identified with a product code beginning with the letter A in the upper right hand corner of the package.,moderate
Supervalu is recalling Essential Everyday Chocolate Covered Peanuts because the product may contain undeclared raisins.,moderate
Analytical results for generic non-pathogenic  E. coli  surpassed firm's in-house specifications for finished product..,moderate
Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
Live insects were noted inside several unopened bags of product.,moderate
Products recalled due to potential for mold growth.  Laboratory analysis for products manufactured demonstrated a higher-than-average moisture content.,major
Avalon Packaging is recalling NXTGEN Kratom because of the potential for Salmonella contamination.,major
Firm testing found trace levels of yeast in the product. Further investigation found the presence of Candida pelliculosa.,moderate
Mango Enchilado contains undeclared colors and sulfites. It is also contaminated with lead.,moderate
Products not manufactured under GMP's,major
"According to the firm, packaged crusts used in various tarts these tarts contains Almond Flour (Nuts) which is listed as an ingredient on the package, but is not listed as an ingredient on the WFM scale label.",major
Frozen pizza crust may contain foreign material (glass).,moderate
potential for glass and metal in product,moderate
"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",severe
May contain small metal fragments from wire mesh sifter.,moderate
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
"It was discovered that the specification used by the supplier was incorrect and therefore the ingredient statement was incorrect and did not include unbleached wheat flour and bulgur wheat. The packaging does note that the products are packaged in a facility that also processes tree nuts, peanuts, milk, wheat, egg and soy.",moderate
"The required pre-market notifications for these new  infant formulas have not been submitted to the FDA. Some products contain less than 1 milligram of iron per 100 Calories and may not provide adequate iron for some infants, particularly infants born prematurely or with a low birth weight, had low iron levels at birth, or are at risk for becoming iron deficient due to illness. All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.",major
The Georgia Department of Agriculture sampled and found Listeria monocytogenes in Dole Garden Salad. Product was packed under 3 additional brand names.,severe
Product may contain undeclared peanut protein.,moderate
Potential Salmonella contamination.,major
The product may have been under processed.,moderate
potential to be contaminated with Listeria monocytogenes,severe
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Wilderness Family Naturals Organic Coconut Milk Powder and other products that contain this as an ingredient are being recalled  due to potential milk contamination.,major
"Dietary supplements are recalled because they may contain trace amounts of the antibiotic chloramphenicol. The dietary supplements on recall contain enzymes that are on recall by Specialty Enzymes Biotechnology, a raw material supplier, because it contains chloramphenicol.",moderate
Undeclared anchovies in Kimchee product.,moderate
"Label states ghee, but does not declare milk.",moderate
Product may contain undeclared milk.,moderate
The recalled products may potentially contain metal fragment(s) from a faulty manufacturing part.,major
"recalling certain lots of Bedroom Bliss Herbal Tincture, Breathe Easy Herbal Tincture, Digest Ease Herbal Tincture, Happy Momma Herbal Tincture, Mojo Magic Herbal Tincture, Respiratory Tea, Mother s Milk Tea due to potential Salmonella contamination.",major
Red Chard is recalled due to a potential for contamination with Cyclospora cayetanensis.,major
"Sunny Pine Farm of Twisp, Washington is voluntarily recalling Organic Black Pepper Garlic Chevre due to possible improper pasteurization.",major
Testing of retain sample related to a customer complaint found peanut allergen at 4.7 ppm; confirmation testing found peanut allergen at 4.8 ppm.,moderate
Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,moderate
Firm received notification of a positive L. mono test result from a random sample taken from of one our customer's retail locations by the Massachusetts Department of Public Health.,major
May contain pieces of food grade packing material,moderate
The product has the potential to be contaminated with Listeria monocytogenes.,severe
Products contain onions purchased from ProSource and associated with a Salmonella Oranienburg outbreak.,major
Potential norovirus from IQF raspberries that were used as an ingredient in the products.,major
The firm was notified by FDA & CDC of a potential Listeria monocytogenes genetic match between environmental samples from our facility and case patient samples associated with an illness outbreak.,severe
Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,severe
Products not manufactured under GMP's,major
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Organic White Sweet Corn is recalled due to a potential for contamination with Listeria monocytogenes.,major
The firm manufactured and distributed 6 salad kits which contained salad dressing supplied by Reser's which was recalled due to possible Listeria Monocytogenes contamination.,major
Potential presence of  Salmonella due to use of recalled whey ingredient,major
"All cans and pouches of Skipanon Brand seafood, including salmon products are being recalled due to lack of documentation and possible under-processed product.  Under-processed seafood could lead to contamination with Clostridium botulinum.",major
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Product may contain undeclared milk.,moderate
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
Potential contamination with Salmonella,major
"There was a mix-up with ingredients used.  The product is an herbal blend consisting of 7 different herbs.  The blend calls for Ginger Root; however, Ginkgo Leaves was accidentally added.",moderate
An FDA inspection at  the manufacturing facility found seven products that do not properly declare wheat as a sub-ingredient of soy sauce in the ingredient list.  Wheat is listed in the Contains statement.,major
Product may be contaminated with Listeria Monocytogenes,severe
Supermom's identified that the Tuna Salad Sandwich contains an undeclared allergen (milk).,moderate
Bakery products which contain an ingredient which contain egg do not declare egg on the label,moderate
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
Cumin used was contaminated with peanut protein.,severe
Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,major
Customer reported that a small percentage of pouches of Salmon to be bloated.  Testing found that bloating was due to production of CO2 as a result of microbial activity of non-heat resistant non-spore forming mesophilic aerobic or facultative spoilage organisms.,major
"Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",severe
Specific Chef Mitch Maier's Black Garlic BBQ Sauces and Marinades may develop mold prior to the Best By date.,moderate
"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination.  All lots with sell by dates on or befo",severe
Sandwiches are recalled due to undeclared wheat.,major
Wysong Corporation is conducting a voluntary recall of multiple varieties of Protein Key brand protein meals due to undeclared allergen soy.,major
Possible contamination of product with Salmonella as product includes the recalled milk and buttermilk powders .,moderate
The products may contain an undeclared milk allergen.,moderate
Sunflower and Tahini Butter has the potential to be contaminated with Listeria monocytogenes.    EXPANDED1/21/2019  Recall was expanded to include all Oskri manufactured butters due to potential Listeria monocytogenes contamination.,severe
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
"The recall was initiated after it was discovered during a routine inspection that the products i.e. various kinds of flours, legumes and spices were cross packaged on shared equipment with peanuts and wheat flour.  The products i.e. various kinds of flours, legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat, but may contain traces of it.",major
Dr. Praeger's Sensible Food/Ungar's Food Products is voluntarily recalling various not-ready-to eat frozen products because they may be contaminated with Listeria monocytogenes.,severe
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.  On October 12, 2012 the firm extended its recall to include Raw and Roasted Shelled and In-Shell Peanuts.",major
Elevated levels of lead,severe
"FDA environmental sampling found 21 of 50 positive for Listeria monocytogenes, 11 of these on food contact surfaces.",severe
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
During an FDA investigation the firm was notified that the product contains undeclared milk.,moderate
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Contains hidden drug ingredient,moderate
Undeclared almonds,moderate
Pistachios have the potential to be contaminated with Salmonella.,severe
Franklin Farms East & Meadow Mountain Nutritional have initiated a recall because several products of theirs have the potential to be contaminated with Salmonella.,major
"Big Blue Fisheries, LLC. is recalling ALL smoked products from all lots and codes, various sizes, in vacuum packages because the products may not have been properly cooked and have the potential to be contaminated with Clostridium botulinum. Because the products may not have been fully processed, product contamination by spoilage organisms or pathogens could lead to illness if consumed.",major
Firm discovered that 8.4 oz. jars of Hazelnut Jam were produced on 8/15/13 and were mislabeled as La Boulange Soft Caramel. the Hazelnut jam contains hazelnuts which were undeclared on the label.,moderate
NYSDAM sampling and analysis has determined that Lake Fresh Smoked Tilapia is un-evsicerated.,severe
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Great Pacific Bagel & Cream Cheese was recalled due to undeclared wheat,major
Product has the potential to be contaminated with Listeria monocytogenes.,severe
Cumin and cumin containing spice mixes may contain undeclared peanuts.,moderate
Coconut Rum Sorbet is being recalled due to the potential to be contaminated with Listeria monocytogenes,severe
"Phil-am Trading, Inc.  is recalling Phil-am Smoked Mackerel (Hasa-Hasa), because it has the potential to be contaminated with Clostridium botulinum, a bacterium which can cause life-threatening illness or death.",severe
Products may be contaminated with Listeria monocytogenes.,severe
The firm found two small food-grade stainless steel fragments in two slices of bread.,major
The firm received positive test results for Listeria monocytogenes during in house environmental sampling on one of their meat slicers.,severe
Listeria monocytogenes,severe
Milk products and cream products may be contaminated with peanuts and tree nuts (pistachio).,major
Contains Statement on Label does not include all allergens - Peanuts,moderate
Onions that firm further processed may be contaminated with Listeria monocytogenes.,severe
Expo Fresh is recalling Roma Tomatoes because they have a potential to be contaminated with Salmonella.,severe
C. botulinum hazard in vacuum packaged pizza crust.,severe
Foreign material (metal fragments) detected in raw material.,severe
The required pre-market notifications for these new  infant formulas have not been submitted to the FDA.  All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.,major
Pumpkin Gelato is being recalled due to the potential to be contaminated with Listeria monocytogenes.,severe
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Undeclared milk and wheat,moderate
"Pecan Praline granola was packed into Coconut Granola boxes. Product may contain undeclared milk, wheat, and pecans.",moderate
Product found positive for Salmonella.,moderate
Listeria monocytogenes found on food contact surfaces and non-food contact surfaces.,severe
Herbal Tea product is recalled due to a potential contamination with Salmonella.,major
"Go Max Go Foods is recalling various lots of vegan candy bar products containing the statement ""dairy-free"" due to undeclared milk.",major
Frozen desserts do not include ingredients on the labeling.,severe
Potential to be contaminated with Salmonella Carrau,severe
Some flour and flour blends produced at Dakota Specialty Milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,severe
Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced,moderate
Sample of Fresh Express Hearts of Romaine tested positive for Salmonella.,major
The product contains undeclared Coconut in the ingredient statement. The Coconut Chocolate Chip bars were inadvertently placed in White Chocolate Macadamia CLIF Bar wrappers and these mislabeled bars were placed inside correctly labeled Coconut Chocolate Chip CLIF Bar boxes.,moderate
CFIA sampled one salad product which resulted in a positive result for Listeria monocytogenes.,severe
Product has the potential to be contaminated with Listeria monocytogenes.,severe
Products not manufactured under GMP's,major
Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,severe
Ingredient containing mold was used in production,major
State of New York Department of Agriculture and Markets tested revealed undeclared milk at > 250 PPM,moderate
Potential plastic inclusion.,severe
Products were recalled due to possible Listeria monocytogenes contamination.,major
Umpqua French Vanilla Ice Cream was made from milk which was tested presumptive positive for beta lactam antibiotics. The firm did not conduct any confirmation test.,moderate
"During an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for Listeria monocytogenes and Salmonella; confirmation was not conducted.",severe
"The dietary supplements were found to contain lead,  mercury and/or arsenic at levels exceeding permissible limits .",moderate
"During an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for Listeria monocytogenes and Salmonella; confirmation was not conducted.",severe
Product may contain undeclared peanut protein.,moderate
Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,major
Improperly declared milk allergen.,moderate
"The products have the potential to be contaminated with Listeria monocytogenes based on FDA sampling and analysis.  During an FDA inspection, an environmental sample (973983) was collected and submitted to NRL for analysis.  NRL's analysis revealed 37 out of 99 subs were positive for L. monocytogenes including both Zone 1 and Zone 2 locations.",severe
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
Undeclared allergen: Bread products were manufactured using raw material (wheat gluten) that was recalled due to undeclared peanut and/or tree nut residue.,major
Products not manufactured under GMP's,major
"Undeclared allergens (milk, wheat, fish (anchovy) and egg.",moderate
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Product has the potential to be contaminated with Salmonella.,severe
Beetles were found in the pea ingredient used in the side compartment of the tray.,major
Yu Yee Brand Black Pepper Powder may be contaminated with Salmonella.,severe
"Private brand customer received 3 complaints of consumers finding the incorrect master pack (kit with dressing and other toppings) in 12.6 oz. Tuscan Herb Chopped Kit. The dressing included was Sweet Thai which contains peanuts, tree nuts and wheat that were not declared on label.",moderate
"Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",severe
Greek yogurt product Chobani brand is recalled due to report of illnesses and product bloated and swollen.,major
Product may be contaminated with Salmonella.,moderate
Undeclared Soy Lecithin.  Label declares Sunflower Lecithin instead of Soy Lecithin.,moderate
"Products were manufactured with peanut butter products recalled by Sunland, Inc. found to be contaminated with Salmonella.",major
"The ingredient statement on the product labels list egg as an ingredient but fails to list eggs in the ""Contains"" information.",moderate
